movieId,title,tags
46,How to Make an American Quilt (1995),"['women', 'romance', 'romantic comedy', 'relationships', 'wedding', 'adultery', 'destiny', 'based on book', 'infidelity', 'romance']"
47,Seven (a.k.a. Se7en) (1995),"['serial killer', 'investigation', 'powerful ending', 'detective', 'dark', 'crime', 'imdb top 250', 'plot twist', 'plot twist', 'suspense']"
48,Pocahontas (1995),"['animation', 'indians', 'animation', 'animals', 'animals', 'story', 'romance', 'animation', 'family', 'stereotypes']"
49,When Night Is Falling (1995),"['romance', 'beautifully filmed', 'nudity', 'romance', 'relationships', 'passionate', 'sexuality', 'erotic', 'women', 'nudity']"
50,"Usual Suspects, The (1995)","['oscar (best supporting actor)', 'plot twist', 'plot twist', 'plot twist', 'complicated', 'imdb top 250', 'storytelling', 'crime', 'cerebral', 'plot twist']"
52,Mighty Aphrodite (1995),"['oscar (best supporting actress)', 'parenthood', 'independent film', 'oscar (best actress)', 'storytelling', 'eccentricity', 'narrated', 'witty', 'melancholic', 'obsession']"
53,Lamerica (1994),"['independent film', 'criterion', 'melancholic', 'runaway', 'death', 'enigmatic', 'complex', 'harsh', 'unusual plot structure', 'greed']"
54,"Big Green, The (1995)","['kids', 'family', 'kids', 'family', 'childhood', 'mentor', 'bullying', 'small town', 'animation', 'disaster']"
55,Georgia (1995),"['music', 'drug addiction', 'music', 'relationships', 'independent film', 'character study', 'drug addiction', 'drinking', 'family drama', 'dysfunctional family']"
56,Kids of the Round Table (1995),"['kids', 'family', 'fantasy', 'gore', 'family', 'pointless', 'adaptation', 'bullying', 'dialogue', 'mentor']"
57,Home for the Holidays (1995),"['dysfunctional family', 'off-beat comedy', 'drama', 'family', 'ensemble cast', 'awesome soundtrack', 'relationships', 'dialogue', 'quirky', 'parenthood']"
58,"Postman, The (Postino, Il) (1994)","['beautifully filmed', 'melancholic', 'romance', 'mentor', 'cinematography', 'friendship', 'relationships', 'romance', 'oscar (best supporting actress)', 'affectionate']"
59,"Confessional, The (Confessionnal, Le) (1995)","['storytelling', 'criterion', 'enigmatic', 'oscar (best foreign language film)', 'foreign', 'death', 'beautifully filmed', 'violence', 'drama', 'cinematography']"
60,"Indian in the Cupboard, The (1995)","['based on book', 'indians', 'based on book', 'magic', 'fantasy', 'based on book', 'childhood', 'fantasy', 'family', 'based on book']"
61,Eye for an Eye (1996),"['vigilante', 'vengeance', 'revenge', 'justice', 'violence', 'murder', 'suspense', 'thriller', 'drama', 'women']"
62,Mr. Holland's Opus (1995),"['music', 'music', 'mentor', 'inspirational', 'sentimental', 'drama', 'touching', 'emotional', 'inspirational', 'musical']"
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),"['parody', 'comedy', 'comedy', 'comedy', 'silly', 'comedy', 'stupidity', 'satire', 'stereotypes', 'humor']"
64,Two if by Sea (1996),"['romantic comedy', 'romance', 'romance', 'mentor', 'story', 'dialogue', 'philosophy', 'idiotic', 'comedy', 'disaster']"
65,Bio-Dome (1996),"['idiotic', 'stupidity', 'silly', 'comedy', 'silly', 'comedy', 'absurd', 'ridiculous', 'lame', 'comedy']"
66,Lawnmower Man 2: Beyond Cyberspace (1996),"['sci-fi', 'future', 'technology', 'future', 'crappy sequel', 'sci-fi', 'sci-fi', 'special effects', 'god', 'sequel']"
67,Two Bits (1995),"['coming-of-age', 'death', 'mentor', 'solitude', 'depression', 'coming-of-age', 'childhood', 'bittersweet', 'teen', 'touching']"
68,French Twist (Gazon maudit) (1995),"['relationships', 'sexuality', 'women', 'sexuality', 'nudity', 'sexuality', 'nudity', 'adultery', 'infidelity', 'erotic']"
69,Friday (1995),"['comedy', 'comedy', 'comedy', 'comedy', 'awesome soundtrack', 'friendship', 'hip hop', 'drinking', 'vengeance', 'humor']"
70,From Dusk Till Dawn (1996),"['gore', 'gore', 'violence', 'gratuitous violence', 'gore', 'horror', 'action', 'violence', 'sexualized violence', 'cult']"
71,Fair Game (1995),"['nudity', 'chase', 'action', 'chase', 'gunfight', 'explosions', 'action', 'lone hero', 'idiotic', 'sexuality']"
72,Kicking and Screaming (1995),"['dialogue', 'talky', 'criterion', 'dialogue', 'witty', 'drinking', 'relationships', 'independent film', 'intellectual', 'cult']"
73,"Misérables, Les (1995)","['based on book', 'based on book', 'beautifully filmed', 'french', 'story', 'adaptation', 'storytelling', 'based on book', 'courage', 'mentor']"
74,Bed of Roses (1996),"['romantic comedy', 'romance', 'romance', 'romantic comedy', 'romance', 'happy ending', 'sweet', 'romance', 'destiny', 'relationships']"
75,Big Bully (1996),"['bullying', 'childhood', 'high school', 'pulp', 'chase', 'kids', 'mentor', 'philosophy', 'disaster', 'revenge']"
76,Screamers (1995),"['sci-fi', 'sci-fi', 'future', 'sci-fi', 'sci-fi', 'future', 'technology', 'post-apocalyptic', 'special effects', 'post-apocalyptic']"
77,Nico Icon (1995),"['music', 'music', 'documentary', 'art', 'drug addiction', 'drugs', 'surrealism', 'creativity', 'unusual plot structure', 'drama']"
78,"Crossing Guard, The (1995)","['guilt', 'vengeance', 'redemption', 'independent film', 'death', 'revenge', 'drinking', 'drama', 'harsh', 'murder']"
79,"Juror, The (1996)","['gangster', 'thriller', 'surveillance', 'organized crime', 'suspense', 'murder', 'betrayal', 'corruption', 'suspense', 'plot twist']"
80,"White Balloon, The (Badkonake sefid) (1995)","['kids', 'childhood', 'greed', 'runaway', 'foreign', 'criterion', 'allegory', 'loneliness', 'golden palm', 'beautifully filmed']"
81,Things to Do in Denver When You're Dead (1995),"['crime gone awry', 'organized crime', 'gangster', 'gangster', 'hit men', 'organized crime', 'stylish', 'hitman', 'crime', 'gangster']"
82,Antonia's Line (Antonia) (1995),"['oscar (best foreign language film)', 'women', 'relationships', 'intellectual', 'reflective', 'parenthood', 'foreign', 'death', 'beautifully filmed', 'bittersweet']"
83,Once Upon a Time... When We Were Colored (1995),"['segregation', 'visually appealing', 'based on book', 'race', 'biopic', 'culture clash', 'action', 'independent film', 'runaway', 'dysfunctional family']"
84,Last Summer in the Hamptons (1995),"['unusual plot structure', 'independent film', 'surrealism', 'family', 'writing', 'redemption', 'mentor', 'dialogue', 'disaster', 'dysfunctional family']"
85,Angels and Insects (1995),"['nudity', 'secrets', 'period piece', 'costume drama', 'erotic', 'nudity', 'nudity', 'beautifully filmed', 'enigmatic', 'visually appealing']"
86,White Squall (1996),"['coming-of-age', 'mentor', 'adventure', 'based on true story', 'coming-of-age', 'friendship', 'courage', 'childhood', 'teen', 'story']"
87,Dunston Checks In (1996),"['family', 'family', 'hotel', 'kids', 'kids', 'slapstick', 'mentor', 'comedy', 'chase', 'disaster']"
88,Black Sheep (1996),"['comedy', 'comedy', 'comedy', 'comedy', 'politics', 'sarcasm', 'stupidity', 'slapstick', 'crude humor', 'idiotic']"
89,Nick of Time (1995),"['conspiracy', 'suspense', 'assassination', 'suspense', 'kidnapping', 'chase', 'thriller', 'kidnapping', 'suspense', 'assassination']"
90,The Journey of August King (1995),"['runaway', 'violence', 'beautifully filmed', 'independent film', 'death', 'mentor', 'redemption', 'disaster', 'guilt']"
92,Mary Reilly (1996),"['ireland', 'mad scientist', 'story', 'based on book', 'based on book', 'adaptation', 'based on book', 'gothic', 'mentor', 'vengeance']"
93,Vampire in Brooklyn (1995),"['comedy', 'horror', 'supernatural', 'gothic', 'gothic', 'transformation', 'comedy', 'justice', 'mentor', 'nocturnal']"
94,Beautiful Girls (1996),"['small town', 'coming-of-age', 'friendship', 'relationships', 'mentor', 'teen', 'ensemble cast', 'drama', 'unlikely friendships', 'drinking']"
95,Broken Arrow (1996),"['action', 'action', 'gunfight', 'explosions', 'chase', 'guns', 'betrayal', 'desert', 'action', 'vengeance']"
96,In the Bleak Midwinter (1995),"['ensemble cast', 'romance', 'dysfunctional family', 'surrealism', 'witty', 'tragedy', 'heartbreaking', 'passionate', 'dialogue', 'black and white']"
97,"Hate (Haine, La) (1995)","['social commentary', 'powerful ending', 'criterion', 'bleak', 'black and white', 'french', 'violence', 'foreign', 'violence', 'gritty']"
98,Shopping (1994),"['independent film', 'pointless', 'sexuality', 'ireland', 'hip hop', 'chase', 'mentor', 'nudity', 'anti-hero', 'cult']"
99,Heidi Fleiss: Hollywood Madam (1995),"['sexuality', 'greed', 'california', 'documentary', 'hotel', 'dysfunctional family', 'obsession', 'independent film', 'manipulation', 'internet']"
100,City Hall (1996),"['corruption', 'politics', 'corruption', 'politics', 'politics', 'investigation', 'conspiracy', 'mentor', 'new york', 'drama']"
101,Bottle Rocket (1996),"['independent film', 'quirky', 'humor', 'off-beat comedy', 'crime gone awry', 'crime', 'unlikely friendships', 'criterion', 'friendship', 'affectionate']"
102,Mr. Wrong (1996),"['comedy', 'comedy', 'silly', 'idiotic', 'absurd', 'farce', 'comedy', 'romantic comedy', 'silly', 'lame']"
103,Unforgettable (1996),"['murder', 'thriller', 'murder', 'plot twist', 'suspense', 'chase', 'investigation', 'serial killer', 'investigation', 'memory']"
104,Happy Gilmore (1996),"['comedy', 'comedy', 'comedy', 'comedy', 'mentor', 'stupidity', 'silly', 'screwball', 'humor', 'action']"
105,"Bridges of Madison County, The (1995)","['romance', 'romance', 'romance', 'bittersweet', 'adultery', 'romantic comedy', 'sentimental', 'passionate', 'relationships', 'romance']"
106,Nobody Loves Me (Keiner liebt mich) (1994),"['philosophy', 'oscar (best foreign language film)', 'loneliness', 'criterion', 'death', 'melancholic', 'intimate', 'enigmatic', 'romance', 'independent film']"
107,Muppet Treasure Island (1996),"['adventure', 'childhood', 'kids', 'franchise', 'animals', 'based on book', 'story', 'coming-of-age', 'musical', 'storytelling']"
108,Catwalk (1996),"['grindhouse', 'hip hop', 'documentary', 'life', 'narrated', 'vengeance', 'mentor', 'justice', 'internet', 'sexualized violence']"
110,Braveheart (1995),"['history', 'history', 'oscar (best picture)', 'oscar (best directing)', 'courage', 'imdb top 250', 'history', 'factual', 'oscar (best cinematography)', 'oscar winner']"
111,Taxi Driver (1976),"['loneliness', 'character study', 'golden palm', 'imdb top 250', 'violence', 'insanity', 'grim', 'social commentary', 'dark', 'obsession']"
112,Rumble in the Bronx (Hont faan kui) (1995),"['action', 'action', 'fighting', 'action', 'gangs', 'chase', 'new york', 'violence', 'vengeance', 'lone hero']"
113,Before and After (1996),"['family drama', 'family', 'drama', 'murder', 'guilt', 'teen', 'dysfunctional family', 'murder', 'intense', 'justice']"
114,Margaret's Museum (1995),"['story', 'romance', 'small town', 'visually appealing', 'powerful ending', 'storytelling', 'visual', 'death', 'quirky', 'dysfunctional family']"
115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)","['relationships', 'women', 'criterion', 'oscar (best foreign language film)', 'intimate', 'melancholic', 'life', 'friendship', 'french', 'childhood']"
116,Anne Frank Remembered (1995),"['documentary', 'wartime', 'intimate', 'death', 'narrated', 'courage', 'heartbreaking', 'women', 'camp', 'secrets']"
117,"Young Poisoner's Handbook, The (1995)","['based on true story', 'based on true story', 'based on true story', 'murder', 'dark', 'dark comedy', 'disturbing', 'insanity', 'stylish', 'vengeance']"
118,If Lucy Fell (1996),"['independent film', 'romantic comedy', 'relationships', 'romance', 'mentor', 'romance', 'romance', 'quirky', 'writing', 'obsession']"
119,"Steal Big, Steal Little (1995)","['gangster', 'hotel', 'mentor', 'california', 'corruption', 'farce', 'disaster', 'ireland', 'nudity']"
120,Race the Sun (1996),"['race', 'kids', 'high school', 'based on true story', 'high school', 'story', 'kids', 'philosophy', 'mentor', 'silly']"
121,"Boys of St. Vincent, The (1992)","['disturbing', 'corruption', 'sexuality', 'heartbreaking', '1970s', 'based on true story', 'drama', 'intense', 'tragedy', 'childhood']"
122,Boomerang (1992),"['nudity', 'comedy', 'sexuality', 'romance', 'comedy', 'comedy', 'romance', 'romantic comedy', 'women', 'comedy']"
123,Chungking Express (Chung Hing sam lam) (1994),"['loneliness', 'romance', 'criterion', 'melancholic', 'obsession', 'enigmatic', 'stylized', 'melancholy', 'cinematography', 'reflective']"
124,"Star Maker, The (Uomo delle stelle, L') (1995)","['beautifully filmed', 'loneliness', 'foreign', 'sexuality', 'cinematography', 'death', 'golden palm', 'visually appealing', 'enigmatic', 'criterion']"
125,Flirting With Disaster (1996),"['ensemble cast', 'independent film', 'comedy', 'comedy', 'screwball', 'humor', 'comedy', 'comedy', 'surrealism', 'parenthood']"
126,"NeverEnding Story III, The (1994)","['magic', 'fantasy', 'fantasy', 'family', 'pointless', 'lame', 'based on book', 'based on book', 'adaptation', 'parallel universe']"
127,"Silences of the Palace, The (Saimt el Qusur) (1994)","['women', 'culture clash', 'sexuality', 'coming-of-age', 'criterion', 'mentor', 'surrealism', 'nudity', 'visually appealing', 'runaway']"
128,Jupiter's Wife (1994),"['drugs', 'documentary', 'obsession', 'biopic', 'new jersey', 'narrated', 'melancholic', 'intimate', 'mental illness', 'grim']"
129,Pie in the Sky (1996),"['romance', 'romance', 'nudity', 'romance', 'quirky', 'dreams', 'grindhouse', 'romantic comedy', 'obsession', 'relationships']"
131,Frankie Starlight (1995),"['ireland', 'ireland', 'ireland', 'based on true story', 'happy ending', 'death', 'fairy tales', 'loneliness', 'touching', 'beautifully filmed']"
132,Jade (1995),"['sexuality', 'murder', 'sexuality', 'murder', 'erotic', 'sexuality', 'investigation', 'chase', 'sexuality', 'detective']"
135,Down Periscope (1996),"['comedy', 'comedy', 'silly', 'silly', 'humor', 'farce', 'absurd', 'light', 'humor', 'screwball']"
136,From the Journals of Jean Seberg (1995),"['documentary', 'women', 'life', 'criterion', 'sexuality', 'melancholic', 'drinking', 'philosophy', 'downbeat', 'complex']"
137,Man of the Year (1995),"['gay', 'independent film', 'documentary', 'philosophy', 'relationships', 'factual', 'solitude', 'death', 'gay', 'sexuality']"
138,"Neon Bible, The (1995)","['based on book', 'based on book', 'based on book', 'based on book', 'based on book', 'fantasy', 'grindhouse', 'adaptation', 'mentor', 'runaway']"
140,Up Close and Personal (1996),"['romance', 'romance', 'romance', 'romantic comedy', 'mentor', 'romantic comedy', 'romance', 'justice', 'destiny', 'story']"
141,"Birdcage, The (1996)","['gay', 'gay', 'gay', 'gay', 'comedy', 'gay', 'oscar (best directing)', 'stereotypes', 'comedy', 'remade']"
144,"Brothers McMullen, The (1995)","['ireland', 'independent film', 'relationships', 'romance', 'ireland', 'happy ending', 'dialogue', 'dialogue', 'indie', 'ireland']"
145,Bad Boys (1995),"['action', 'action', 'comedy', 'gunfight', 'chase', 'chase', 'explosions', 'fast-paced', 'action', 'detective']"
146,"Amazing Panda Adventure, The (1995)","['family', 'kids', 'adventure', 'kids', 'family', 'runaway', 'animals', 'childhood', 'mentor', 'disaster']"
147,"Basketball Diaries, The (1995)","['drug addiction', 'drug addiction', 'drug addiction', 'drugs', 'mentor', 'drugs', 'based on book', 'based on true story', 'based on true story', 'based on true story']"
148,"Awfully Big Adventure, An (1995)","['surrealism', 'nudity', 'nudity', 'british', 'costume drama', 'dialogue', 'drama', 'story', 'loneliness', 'independent film']"
149,Amateur (1994),"['independent film', 'quirky', 'hit men', 'stylized', 'sexuality', 'enigmatic', 'gangster', 'off-beat comedy', 'cerebral', 'surrealism']"
150,Apollo 13 (1995),"['based on true story', 'drama', 'courage', 'based on true story', 'based on true story', 'drama', 'history', 'suspense', 'history', 'oscar winner']"
151,Rob Roy (1995),"['history', 'passionate', 'period piece', 'ireland', 'betrayal', 'vengeance', 'courage', 'sexualized violence', 'greed', 'breathtaking']"
152,"Addiction, The (1995)","['drug addiction', 'gothic', 'drug addiction', 'drug addiction', 'immortality', 'gore', 'new york', 'philosophy', 'independent film', 'cult']"
153,Batman Forever (1995),"['dark hero', 'superhero', 'vigilante', 'franchise', 'superhero', 'superhero', 'alter ego', 'based on comic', 'superhero', 'action']"
154,Beauty of the Day (Belle de jour) (1967),"['sexuality', 'enigmatic', 'criterion', 'obsession', 'fantasy', 'surrealism', 'adultery', 'surrealism', 'imagination', 'intimate']"
155,Beyond Rangoon (1995),"['politics', 'sacrifice', 'indians', 'history', 'courage', 'tragedy', 'disaster', 'mentor', 'based on true story', 'violence']"
156,Blue in the Face (1995),"['independent film', 'new york', 'new york', 'relationships', 'nudity', 'solitude', 'philosophy', 'dialogue', 'surrealism', 'comedy']"
157,Canadian Bacon (1995),"['satire', 'politics', 'satire', 'sarcasm', 'politics', 'comedy', 'stereotypes', 'parody', 'guns', 'propaganda']"
158,Casper (1995),"['afterlife', 'kids', 'family', 'childhood', 'afterlife', 'supernatural', 'kids', 'animation', 'special effects', 'based on comic']"
159,Clockers (1995),"['drugs', 'crime', 'drug addiction', 'drug addiction', 'mentor', 'hip hop', 'murder', 'drinking', 'drug addiction', 'gangster']"
160,Congo (1995),"['based on book', 'based on book', 'adventure', 'special effects', 'action', 'silly', 'based on book', 'based on book', 'disaster', 'adaptation']"
161,Crimson Tide (1995),"['suspense', 'guns', 'claustrophobic', 'war', 'thriller', 'intense', 'action', 'suspense', 'drama', 'forceful']"
162,Crumb (1994),"['art', 'art', 'obsession', 'documentary', 'art', 'eccentricity', 'intimate', 'criterion', 'dysfunctional family', 'sexuality']"
163,Desperado (1995),"['action', 'violence', 'stylish', 'gunfight', 'vengeance', 'revenge', 'action', 'violence', 'hitman', 'cool']"
164,Devil in a Blue Dress (1995),"['noir', 'based on book', 'noir', 'noir', 'murder', 'plot twist', 'noir', 'corruption', 'detective', 'segregation']"
165,Die Hard: With a Vengeance (1995),"['action', 'lone hero', 'vengeance', 'action', 'gunfight', 'chase', 'sequel', 'explosions', 'violence', 'race']"
166,"Doom Generation, The (1995)","['sexuality', 'violence', 'sexuality', 'surrealism', 'cult', 'gore', 'surrealism', 'surrealism', 'sexuality', 'pointless']"
167,Feast of July (1995),"['beautifully filmed', 'death', 'wartime', 'visually appealing', 'small town', 'runaway', 'criterion', 'ethnic conflict', 'period piece', 'death']"
168,First Knight (1995),"['romance', 'romantic comedy', 'romance', 'romance', 'betrayal', 'period piece', 'destiny', 'mythology', 'history', 'romance']"
169,Free Willy 2: The Adventure Home (1995),"['family', 'adventure', 'sequel', 'sequel', 'disaster', 'runaway', 'disaster', 'animals', 'family', 'fantasy']"
170,Hackers (1995),"['awesome soundtrack', 'internet', 'technology', 'cool', 'teen', 'teen', 'future', 'disaster', 'teen', 'teen']"
171,Jeffrey (1995),"['gay', 'gay', 'gay', 'gay', 'gay', 'stereotypes', 'death', 'relationships', 'nudity', 'mentor']"
172,Johnny Mnemonic (1995),"['dystopia', 'future', 'future', 'sci-fi', 'sci-fi', 'technology', 'dystopia', 'sci-fi', 'sci-fi', 'post-apocalyptic']"
173,Judge Dredd (1995),"['based on comic', 'future', 'based on comic', 'future', 'sci-fi', 'dystopia', 'sci-fi', 'superhero', 'action', 'based on comic']"
174,Jury Duty (1995),"['comedy', 'idiotic', 'comedy', 'comedy', 'stupidity', 'parody', 'lame', 'cult', 'justice', 'silly']"
175,Kids (1995),"['controversial', 'drugs', 'sexuality', 'golden palm', 'drug addiction', 'teen', 'teen', 'sexuality', 'teen', 'disturbing']"
176,Living in Oblivion (1995),"['independent film', 'indie', 'dreams', 'comedy', 'powerful ending', 'affectionate', 'unusual plot structure', 'ensemble cast', 'dialogue', 'plot twist']"
177,Lord of Illusions (1995),"['supernatural', 'horror', 'demons', 'cult', 'nudity', 'magic', 'gore', 'fantasy', 'horror', 'nudity']"
178,Love & Human Remains (1993),"['gay', 'relationships', 'gay', 'romance', 'gay', 'loneliness', 'serial killer', 'sexuality', 'sexuality', 'sexuality']"
179,Mad Love (1995),"['romance', 'romance', 'romance', 'teen', 'romance', 'nudity', 'relationships', 'teen', 'mental illness', 'teen']"
180,Mallrats (1995),"['comedy', 'new jersey', 'comedy', 'teen', 'awesome soundtrack', 'comedy', 'crude humor', 'dialogue', 'comedy', 'cult']"
181,Mighty Morphin Power Rangers: The Movie (1995),"['mentor', 'nostalgic', 'silly', 'superhero', 'action', 'family', 'action', 'kids', 'special effects', 'childhood']"
182,Moonlight and Valentino (1995),"['relationships', 'romantic comedy', 'women', 'friendship', 'philosophy', 'shallow', 'drama', 'death', 'romance', 'nudity']"
183,Mute Witness (1994),"['suspense', 'chase', 'thriller', 'suspense', 'murder', 'suspense', 'plot twist', 'plot twist', 'conspiracy', 'claustrophobic']"
184,Nadja (1994),"['gothic', 'new york', 'eccentricity', 'immortality', 'stylized', 'surrealism', 'dialogue', 'art house', 'gore', 'stylish']"
185,"Net, The (1995)","['internet', 'chase', 'conspiracy', 'technology', 'identity', 'paranoia', 'first contact', 'espionage', 'thriller', 'disaster']"
186,Nine Months (1995),"['comedy', 'romantic comedy', 'romantic comedy', 'parenthood', 'comedy', 'wedding', 'hospital', 'family', 'comedy', 'happy ending']"
187,Party Girl (1995),"['independent film', 'indie', 'philosophy', 'quirky', 'light', 'mentor', 'runaway', 'unlikely friendships', 'witty', 'stylish']"
188,"Prophecy, The (1995)","['god', 'demons', 'mythology', 'supernatural', 'sacrifice', 'war', 'powerful ending', 'greed', 'dialogue', 'story']"
