toys,computer animation,pixar animation,kids and family,animation
poland,enigmatic,criterion,relationships,trilogy
foreign,original,cinematography,story,visually appealing
adoption,family,children,kids,childhood
grindhouse,classic car,twist ending,twists & turns,suspenseful
saturday night live,dysfunctional family,satire,original,family
animation,love,animated,disney animated feature,cartoon
irish,ireland,irish accent,mythology,storytelling
action,explosions,good action,vengeance,revenge
sci-fi,sci fi,science fiction,egypt,scifi
christmas,holiday,children,family,fantasy
imdb top 250,oscar (best picture),powerful ending,masterpiece,prison
dark humor,greed,twists & turns,stylish,dark
noir thriller,amnesia,black and white,identity,independent film
gay character,homosexuality,gay,friendship,queer
buddy movie,powerful ending,independent film,great acting,revenge
gay character,gay,father son relationship,homosexuality,relationships
comedy,goofy,teen movie,stupid,funny
revolution,china,foreign,communism,tragedy
based on a comic,adapted from:comic,mutants,cyberpunk,post apocalyptic
demons,horror,splatter,gory,fun movie
space,star trek,franchise,space opera,series
horror,brutality,violence,supernatural,original
doctors,loneliness,original,mental illness,relationships
remake,horror,original,alien,children
funniest movies,comedy,road trip,goofy,hilarious
criterion,talky,dialogue,based on a play,independent film
heist,stylish,neo-noir,film noir,betrayal
vietnam war,vietnam,islam,camp,life philosophy
small town,disability,dysfunctional family,great acting,family bonds
virtual reality,futuristic,cyberpunk,dark hero,technology
romantic comedy,romantic,chick flick,sweet,girlie movie
bullying,war,drama,childhood,children
parenthood,culture clash,relationships,original,independent film
bittersweet,unlikely friendships,australia,dysfunctional family,friendship
camp,based on a book,teen movie,based on book,girlie movie
goofy,silly fun,dumb,detective,comedy
transgender,cross dressing,road trip,queer,gay
rock and roll,beatles,musicians,music business,original
bdsm,obsession,relationships,nudity (topless - notable),erotic
oscar (best supporting actress),1930s,new york,artistic,gangsters
tom clancy,conspiracy,action,mentor,tense
lawyers,lawyer,based on a book,tom clancy,thriller
interracial romance,race issues,family,heartwarming,touching
dysfunctional family,family drama,parenthood,childhood,teacher
dark hero,goth,adapted from:comic,vigilante,vengeance
baseball,sports,biographical,biography,biopic
cartoon,family,adoption,children,original
oscar (best music - original score),oscar (best effects - visual effects),oscar (best picture),oscar (best editing),destiny
relationships,romantic comedy,chick flick,romantic,british comedy
college,stereotypes,segregation,racism,mentor
independent film,bollywood,original,great,good soundtrack
chase,conspiracy,romantic,love story,predictable
romantic comedy,feel good movie,feel-good,romantic,chick flick
jungle,animals,adventure,talking animals,adapted from:book
documentary,germany,nazis,german,nazi
disney animated feature,animation,kids and family,animated,oscar (best animated feature)
visually appealing,visually stunning,cinematography,story,storytelling
horror,sequel,franchise,slasher,original
goofy,comedy,based on a comic,superhero,cartoon
western,comedy,fun movie,based on a tv show,gunfight
writer's life,writers,new york,biopic,independent film
spoof,parody,comedy,silly fun,funny as hell
new york,journalism,story,mentor,drama
slackers,good soundtrack,awesome soundtrack,life philosophy,off-beat comedy
neo-noir,twists & turns,greed,noir thriller,hitman
kids,children,family,childhood,adapted from:comic
dysfunctional family,drama,independent film,original,family
scenic,hostage,family bonds,runaway,good action
good action,action packed,action,tense,chase
romantic comedy,romance,love story,romantic,politics
time travel,futuristic,future,science fiction,martial arts
action,arnold,good action,spying,chase
love,drinking,love story,alcoholism,relationships
werewolves,werewolf,horror,drama,original
gunfight,western,biopic,biographical,oscar (best cinematography)
betrayal,espionage,twists & turns,sexy,original
gay,homosexuality,mentor,loneliness,homophobia
teenager,cult film,reality tv,original,awesome soundtrack
action,good action,violence,action packed,chase
gay,queer,gay character,coming of age,homophobia
wine,criterion,france,lawyer,greed
cult classic,cult film,desert,cars,women
love story,original,love,nudity (topless),brutality
stop motion,stop-motion,weird,animation,animals
based on a video game,video game adaptation,adapted from:game,video game,computer game
dark humor,cult classic,violent,original,hitman
horror,supernatural,demons,creepy,halloween
friendship,documentary,animal movie,hip hop,original
satire,television,off-beat comedy,original,visually appealing
brutality,stand-up comedy,bollywood,original,hip hop
immortality,sequel,franchise,good sequel,sequels
gay,independent film,very interesting,brutality,original
small town,horror,insanity,weird,dark fantasy
love story,true story,destiny,love,sports
sports,basketball,hip hop,mentor,high school
camp,good sequel,sequel,macabre,sequels
stand-up comedy,funny as hell,funny,original,very funny
costume drama,literary adaptation,period piece,new york,19th century
rock and roll,comedy,musicians,awesome soundtrack,music
sports,basketball,feel-good,mentor,predictable
sequels,chase,mafia,mob,comedy
western,women,gunfight,chase,original
dialogue driven,dialogue,cerebral,talky,independent film
humanity,original,storytelling,cerebral,narrated
based on a tv show,original,family,television,dumb but funny
gunfight,sequel,good action,action,car chase
horses,amazing cinematography,beautifully filmed,animals,beautiful scenery
blindness,suspenseful,serial killer,thriller,murder
irish accent,boston,action,irish,bombs
sports,college,basketball,based on true story,golf
oscar (best actress),original,oscar (best supporting actress),dramatic,family
alien,remake,aliens,alien invasion,sci-fi
obsession,weird,lynch,pornography,bizarre
organized crime,mafia,gangster,gangsters,coming of age
off-beat comedy,goofy,cult film,original,idiotic
coming of age,teens,adolescence,california,teen
organized crime,gangster,gangsters,mafia,crime
treasure hunt,sequel,good sequel,sequels,destiny
short-term memory loss,private detective,comedy,memory loss,memory
good action,action,action packed,gunfight,explosions
alien,saturday night live,aliens,alien invasion,comedy
erotic,sex,sexual,psychiatrist,male nudity
chase,saturday night live,surveillance,family,comedy
chase,gunfight,new york city,friendship,original
israel,so bad it's funny,infidelity,original,amy smart
president,world politics,politics,secret service,political
teen,high school,adolescence,teen movie,marijuana
future,futuristic,good action,action,sci-fi
surfing,australia,good soundtrack,narrated,original
based on a book,adapted from:book,books,book,pornography
spoof,parody,silly,comedy,funny
china,revolution,foreign,opera,masterpiece
vampire human love,original,predictable,life philosophy,happy ending
life & death,death,guilt,existentialism,depression
hip hop,parody,spoof,mockumentary,satire
homeless,touching,life,mentor,sentimental
texas,original,great acting,nudity (topless - notable),film noir
irish accent,irish,ireland,secrets,original
hotel,romantic comedy,romantic,romance,love story
oscar (best music - original score),lawyers,tom clancy,lawyer,based on a book
kids and family,family,kids,children,animal movie
drugs,chess,gangsters,great acting,drug addiction
oscar (best supporting actor),chase,action,tense,conspiracy
native americans,indians,historical,history,us history
remake,betrayal,prison escape,original,action
father son relationship,family,original,predictable,heist
lesbian,independent film,women,gay character,queer
africa,farce,original,based on a book,satire
lawyer,thriller,lawyers,murder,courtroom
action,martial arts,good action,gunfight,fight scenes
vietnam war,vietnam,war,brutality,family bonds
spoof,parody,comedy,sequel,dumb but funny
women,nudity (topless),nudity (topless - notable),sexual,strippers
feel-good,british comedy,whimsical,england,british
based on a book,based on book,magic realism,adapted from:book,book
hip hop,sequel,original,great ending,predictable
coen bros,coen brothers,original,weird,whimsical
original,satire,good soundtrack,hip hop,mentor
comedy,military,funny,idiotic,gulf war
secret service,assassin,tense,assassination,suspenseful
irish,father son relationship,ireland,corruption,based on true story
coming of age,coming-of-age,teen movie,adolescence,teen
biopic,biographical,based on true story,oscar (best actress),true story
vigilante,vigilantism,original,predictable,los angeles
chase,gangsters,action,good action,chicago
special effects,dinosaurs,spielberg,big budget,adventure
serial killer,violent,tense,psychological,violence
violence,bank robbery,heist,drugs,violent
coming of age,1930s,criterion,adolescence,mentor
dog,dogs,family,children,animals
action,arnold,good action,fantasy,parody
kids,great,original,cute!,funny
comedy,western,original,good,funny
obsession,cross dressing,based on a play,betrayal,china
comedy,happy ending,too long,original,high school
nudity (rear),suspense,thriller,twists & turns,serial killer
mentor,friendship,teacher,unlikely friendships,drama
murder mystery,mystery,investigation,murder,comedy
violent,gangsters,violence,bleak,gangs
tom clancy,good action,action,terrorism,action packed
sexual,pornography,male nudity,erotic,obsession
loneliness,independent film,character study,relationships,dialogue
shakespeare,literature,witty,dialogue,great acting
depression,psychiatrist,doctors,psychiatry,hospital
relationships,romantic comedy,romantic,original,predictable
children,comedy,divorce,cross dressing,family
bleak,loneliness,social commentary,homeless,existentialism
martial arts,mentor,high school,teen movie,teenager
satire,dark humor,greed,satirical,black comedy
action,future,prison escape,futuristic,island
kids,stereotypes,children,original,adoption
transgender,literary adaptation,surreal,18th century,immortality
hostage,road movie,mentor,prison escape,runaway
aids,gay,gay character,homosexuality,oscar (best supporting actor)
oscar (best actress),golden palm,passionate,relationships,melancholic
los angeles,hip hop,justice,road trip,road movie
football,college,sports,mentor,cheerleading
alien,based on a book,aliens,alien invasion,science fiction
murder mystery,radio,1930s,comedy,police investigation
christmas,holiday,dysfunctional family,comedy,sarcasm
literary adaptation,period piece,world war ii,adapted from:book,great acting
feel-good,military,comedy,mentor,feel good movie
murder,murder mystery,police investigation,corruption,investigation
off-beat comedy,nudity (topless - notable),humorous,original,weird
cyborgs,franchise,crappy sequel,sequel,robots
spoof,parody,comedy,hilarious,dumb but funny
neo-noir,noir thriller,assassin,corruption,organized crime
violence,violent,skinhead,brutality,brutal
independent film,loneliness,coming-of-age,coming of age,bittersweet
football,sports,true story,based on true story,inspiring
homeless,new york city,new york,independent film,mentor
relationships,death,aids,life,sexual
holocaust,jews,oscar (best directing),nazis,world war ii
baseball,sports,comedy,goofy,chick flick
chess,mentor,based on true story,based on a true story,sports
based on a book,magic,based on book,fairy tale,fantasy world
serial killer,dark comedy,dark humor,murder,black comedy
superhero,super hero,dark hero,adapted from:comic,superheroes
love,c.s. lewis,love story,life & death,beautifully filmed
ensemble cast,multiple storylines,robert downey jr,los angeles,criterion
amy smart,adapted from:book,touching,destiny,mentor
erotic,sexual,pornography,sexuality,artist
based on a play,talky,art,greed,dialogue
romantic,chick flick,romantic comedy,love story,girlie movie
voyeurism,erotic,sex,murder mystery,surveillance
androids,distopia,dystopic future,futuristic,future
college,comedy,family,california,original
comedy,funny,san francisco,hilarious,original
chase,serial killer,good action,action,detective
based on a video game,video game adaptation,video game,adapted from:game,videogame
homeless,hunting,wilderness,survival,chase
good action,action,chase,action packed,fun movie
musicians,music,classical music,biopic,eccentricity
sexual,sex,gay character,friendship,gay
stop motion,dark fantasy,halloween,holiday,imagination
swashbuckler,based on a book,adventure,fun movie,adapted from:book
gunfight,western,great acting,vengeance,oscar (best cinematography)
mob,thriller,courtroom,gangster,murder
violent,violence,brutality,gratuitous violence,ensemble cast
politics,political,documentary,criterion,president
adventure,books,fantasy,fantasy world,original
erotic,sexual,nudity (topless - notable),pornography,male nudity
hit men,assassin,neo-noir,hitman,mob
adolescence,independent film,bullying,new jersey,indie
poverty,based on book,based on a book,adapted from:book,revolution
chase,male nudity,action,prison,predictable
vampires,immortality,vampire,dark fantasy,nocturnal
new york,relationships,original,writers,mentor
almodovar,rape,pornography,spanish,reality tv
independent film,england,london,indians,bollywood
baseball,sports,minnesota,kids,mentor
coming of age,school,childhood,social commentary,oscar (best foreign language film)
drama,original,great ending,based on book,great acting
teacher,italian,foreign,italy,children
mother-son relationship,incest,sexual,dysfunctional family,independent film
kids,childhood,original,children,friendship
based on true story,family,animals,animal movie,based on a true story
original,based on true story,powerful ending,story,fairy tale
gay character,homosexuality,queer,gay,censorship
latin america,foreign,oscar (best foreign language film),pregnancy,visually appealing
rome,cancer,criterion,humorous,doctors
based on a tv show,parody,spoof,silly fun,original
holiday,christmas,family,children,comedy
ghosts,love story,afterlife,supernatural,romantic
disney animated feature,kids and family,animation,fairy tale,kids
future,cyborgs,scifi,action,science fiction
native americans,indians,oscar (best cinematography),civil war,oscar (best picture)
dark hero,super hero,vigilante,super-hero,batman
oscar (best directing),serial killer,suspenseful,psychological,oscar (best picture)
disney animated feature,animation,cartoon,fairy tale,animated
disney animated feature,animation,fairy tale,kids and family,oscar (best animated feature)
disney animated feature,animation,cartoon,fairy tale,animated
romantic comedy,romantic,chick flick,rags to riches,love story
paris,russian,russia,foreign,french
gunfight,western,violence,violent,imdb top 250
southern theme,independent film,road movie,violence,original
harsh,oscar (best foreign language film),china,tokyo,bollywood
jazz,musicians,documentary,art,life philosophy
divorce,parenthood,single father,kids,original
single father,romantic comedy,romantic,romance,sweet
slasher,sequel,sequels,good sequel,horror
coen bros,dark humor,imdb top 250,crime,coen brothers
talking animals,sequel,dogs,dog,san francisco
animation,adapted from:comic,dark fantasy,cult classic,futuristic
franchise,horror,demons,splatter,original
independent film,good soundtrack,original,unlikely friendships,melancholic
adapted from:book,based on a book,literature,adaptation,based on book
life philosophy,very interesting,goretastic,murder,mentor
foreign,beautifully filmed,criterion,golden palm,immigrants
disney animated feature,animation,cartoon,animals,animated
almodovar,spanish,stylized,relationships,reflective
art,screwball comedy,screwball,farce,artist
baseball,sports,monkey,original,boston
relationships,dysfunctional family,complex,intimate,family drama
revenge,women,sexy,original,feel-good
political,politics,murder,powerful ending,death
surprise ending,courtroom,lawyer,lawyers,courtroom drama
nudity (topless - notable),sexual,nudity (full frontal),nudity (full frontal - notable),relationships
sequels,animation,sequel,dog,cartoon
fascism,revolution,civil war,spain,political
solitude,original,independent film,life philosophy,life & death
dinosaurs,horrible,futuristic,original,cyberpunk
adoption,segregation,race issues,culture clash,race
based on a tv show,comedy,assassin,original,series
single father,chick flick,romantic,romantic comedy,london
independent film,sexual,pornography,sex,sexy
remake,original,murder,nudity (full frontal - brief),detective
jungle,paris,silly fun,divorce,original
relationships,loneliness,intimate,solitude,melancholic
gulf war,military,courage,war,dramatic
espionage,spying,spies,action,spy
road movie,beautifully filmed,solitude,japan,life & death
based on a book,18th century,adapted from:book,period piece,literature
good,original plot,sexualized violence,family,original
weird,original,cooking,vampire human love,independent film
dragons,fantasy,high fantasy,mythology,medieval
sports,new york,basketball,new jersey,feel-good
music,fun movie,musical,stand-up comedy,single father
criterion,based on book,adapted from:book,based on a book,hitchcock
original,author:neil gaiman,life & death,life,life philosophy
stop motion,stop-motion,based on book,adapted from:book,based on a book
teen movie,father daughter relationship,teen,teenager,obsession
awesome soundtrack,comedy,drugs,funny,original
adultery,original,based on a play,cheating,dialogue
golden palm,surreal,surrealism,masterpiece,allegory
teacher,relationships,nudity (topless - notable),mentor,swedish
martial arts,kung fu,fight scenes,fighting,mentor
criterion,india,poverty,intimate,masterpiece
criterion,poignant,trilogy,lyrical,masterpiece
sci-fi,hilarious,sarcasm,robot,scifi
cartoon,sports,animation,fun movie,fun
cult classic,sexy,space travel,sci-fi,scifi
independent film,short,too short,original,interesting
ireland,irish,irish accent,coming of age,death
criterion,futuristic,cerebral,enigmatic,weird
criterion,humorous,cynical,film noir,dark humor
finnish,life philosophy,jungle,indians,intimate
aids,gay,death,heartbreaking,relationships
australia,original,australian,nudity (topless - notable),nudity (full frontal - notable)
family,feel-good,kids and family,war,wartime
politics,political,german,germany,drama
chick flick,romantic comedy,mistaken identity,romance,romantic
cyborgs,androids,action,fight scenes,robot
action,good action,revenge,realistic action,high school
serial killer,investigation,murder,detective,police investigation
relationships,nudity (topless - notable),nudity (full frontal - notable),love story,lesbian
independent film,original,twists & turns,love,corruption
erotic,voyeurism,sexual,sex,nudity (full frontal - notable)
high school,bullying,teen movie,teen,teens
intimate,melancholic,harsh,19th century,visually appealing
intimate,adultery,criterion,independent film,talky
boarding school,memory,visually appealing,runaway,original
martial arts,fight scenes,007 (series),kung fu,fighting
mozart,humorous,mental illness,original,goofy
sports,basketball,high school,mentor,happy ending
noir thriller,neo-noir,los angeles,investigation,detective
romantic comedy,romantic,chick flick,dog,good romantic comedies
disney animated feature,animation,talking animals,dogs,disney
sports,boston,basketball,comedy,kidnapping
family,cute!,original,adventure,whimsical
prison,passionate,romance,love,original
latin america,based on a book,spanish,based on book,torture
